state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	1.174	23.000	1.174	1	0	0.000	0.029	0.292	-37.83	-279.36	-0.79	0.00
200	2.406	8.268	2.406	1	0	0.000	0.018	0.295	-38.72	-279.29	-0.01	-0.69
300	1.092	9.660	1.092	1	3	62.738	0.004	0.124	-37.22	-281.31	0.35	0.00
400	0.825	12.913	0.825	1	3	18.463	0.222	0.221	-36.36	-281.20	-0.31	0.00
500	0.645	24.393	0.645	1	2	17.616	0.663	0.239	-41.44	-280.89	0.00	-0.15
600	1.929	16.629	1.929	1	4	11.154	0.796	0.162	-39.73	-281.53	0.00	0.00
700	8.423	9.788	9.788	1	0	0.000	1.506	-0.173	-47.97	-279.53	0.01	-0.69
800	6.588	22.340	8.499	3	1	7.115	1.839	0.108	-48.16	-282.80	0.01	0.00
900	1.284	23.831	1.284	1	2	4.394	1.415	-0.161	-42.04	-280.78	-0.70	0.00
1000	0.493	12.220	0.493	1	6	5.873	1.346	-0.002	-40.39	-281.84	-0.19	0.00
1100	0.604	13.797	0.604	2	4	6.445	0.761	0.639	-38.66	-282.48	0.01	0.00
1200	0.235	20.130	0.235	2	0	0.000	0.761	1.096	-35.84	-280.40	0.02	0.69
1300	0.459	11.837	0.459	2	0	0.000	1.356	1.578	-38.16	-280.35	0.00	0.00
1400	0.710	8.471	0.710	2	0	0.000	0.952	2.332	-37.23	-280.32	0.00	-5.23
1500	1.393	19.353	1.393	2	2	19.458	0.533	2.384	-37.86	-281.91	0.00	0.00
1600	5.647	14.249	5.647	1	1	18.575	0.700	2.059	-43.48	-280.24	0.00	0.00
1700	1.288	87.748	1.288	2	1	10.809	0.028	1.127	-37.05	-281.20	0.01	-0.16
1800	3.143	91.794	3.143	2	0	0.000	0.090	1.648	-46.39	-280.51	0.00	-2.72
1900	1.318	9.971	1.318	1	8	6.989	0.018	1.201	-37.95	-282.18	-0.02	-0.69
2000	1.094	11.560	1.094	1	7	9.872	0.020	1.210	-37.56	-282.05	0.00	0.00
2100	1.280	7.524	1.280	1	1	10.497	0.277	0.535	-38.80	-280.04	0.05	0.69
2200	1.911	16.599	1.911	1	0	0.000	0.002	0.344	-37.54	-279.34	0.00	-4.09
2300	2.888	17.817	2.888	1	0	0.000	0.185	0.713	-39.21	-279.35	0.03	0.69
2400	1.536	12.304	1.536	1	0	0.000	0.989	0.525	-39.79	-279.32	0.00	0.00
2500	0.794	13.868	0.794	2	0	0.000	1.161	0.957	-40.05	-280.36	-0.01	0.00
2600	1.975	6.104	2.499	2	1	13.222	1.028	0.105	-45.02	-281.09	-0.01	0.00
2700	1.740	14.746	1.740	2	4	10.272	0.650	0.594	-38.05	-282.56	0.00	-4.23
2800	1.263	27.972	1.263	1	0	0.000	0.806	0.880	-37.83	-279.34	-0.00	0.00
2900	1.058	10.058	1.058	1	3	11.178	0.806	1.015	-39.27	-281.14	0.02	0.69
3000	0.695	7.458	0.695	2	3	11.585	0.806	1.271	-37.35	-282.15	-0.00	-0.69
3100	1.206	7.240	1.206	1	2	11.858	0.280	1.587	-37.41	-280.73	0.00	0.00
3200	3.005	11.829	3.005	1	0	0.000	0.892	1.487	-40.12	-279.34	-0.02	-0.69
3300	0.467	19.041	0.467	1	0	0.000	1.017	1.487	-36.62	-279.27	-0.00	0.06
3400	0.708	25.308	0.708	1	2	16.911	0.901	1.915	-37.27	-280.80	0.00	0.00
3500	0.303	23.470	0.303	1	0	0.000	0.987	1.566	-36.04	-279.34	-0.01	0.00
3600	0.755	19.408	0.755	1	0	0.000	1.182	0.630	-38.63	-279.32	0.00	-4.72
3700	0.523	13.647	0.523	1	2	30.258	1.375	0.801	-40.39	-280.81	0.00	-5.35
3800	1.074	8.976	1.074	1	3	29.863	1.475	0.622	-44.10	-281.19	0.00	-4.40
3900	0.131	6.082	0.131	1	1	29.999	1.440	0.622	-41.31	-280.02	0.00	0.00
4000	0.726	6.000	0.726	1	0	0.000	0.872	1.162	-38.01	-279.23	0.00	-5.02
4100	0.127	8.120	0.127	1	2	30.161	0.872	2.027	-35.82	-280.75	0.01	0.00
4200	0.411	9.746	0.411	1	0	0.000	0.521	2.127	-38.18	-279.24	0.00	0.00
4300	2.826	13.489	2.826	1	1	46.669	0.290	1.336	-39.00	-280.21	-0.01	0.12
4400	1.475	11.618	1.475	1	2	49.357	0.290	1.003	-36.88	-280.90	0.00	0.00
4500	1.036	8.409	1.036	1	2	73.926	0.211	1.392	-35.04	-280.87	0.00	-4.33
4600	1.199	2.349	1.199	1	1	69.446	0.189	2.247	-34.17	-280.10	-0.05	0.47
4700	1.281	1.437	1.437	1	2	68.590	0.189	2.654	-34.08	-280.86	0.00	-4.09
4800	3.539	5.039	3.539	1	1	69.008	0.536	2.632	-38.87	-280.19	-0.03	-0.69
4900	1.397	62.840	1.397	1	1	68.374	0.288	2.278	-34.91	-280.16	0.00	0.00
5000	0.670	20.839	0.670	1	2	77.440	0.633	2.278	-35.31	-280.88	0.01	0.00
5100	0.788	0.788	0.788	0	1	123.206	0.491	2.699	-34.33	-279.82	0.00	0.00
5200	1.336	1.336	1.336	0	1	175.568	0.284	3.013	-34.42	-279.95	0.00	-4.02
5300	1.232	1.232	1.232	0	1	136.160	0.340	2.109	-33.56	-279.86	0.00	-4.10
5400	0.349	0.349	0.349	0	2	75.585	0.459	2.381	-33.87	-280.48	0.77	0.00
5500	0.864	0.864	0.864	0	2	161.153	0.159	1.411	-32.83	-280.75	-0.00	0.00
