state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
500	0.012	0.012	0.012	0	1	0.417	0.043	-0.063	145.66	-2766.78	0.69	0.00
1000	0.012	0.012	0.012	0	1	2.391	0.009	-0.096	173.65	-2766.79	-0.70	0.00
1500	0.011	0.011	0.011	0	2	7.729	0.003	-0.049	181.37	-2767.50	0.01	-0.39
2000	0.010	0.010	0.010	0	2	131.319	0.003	-0.072	179.01	-2767.87	0.00	0.00
2500	0.009	0.009	0.009	0	3	15.502	0.003	-0.064	181.16	-2767.94	-0.00	0.00
3000	0.009	0.009	0.009	0	2	34.149	0.001	-0.141	179.35	-2767.57	-0.05	0.63
3500	0.010	0.010	0.010	0	1	124.085	0.000	0.070	175.11	-2767.03	-0.04	0.17
4000	0.012	0.012	0.012	0	1	1178.667	0.000	0.000	174.94	-2769.14	2.37	0.00
4500	0.011	0.011	0.011	0	1	943.709	0.002	-0.192	173.18	-2768.67	0.00	0.00
5000	0.012	0.012	0.012	0	1	433.157	0.004	0.095	172.52	-2767.65	-0.00	0.00
5500	0.013	0.013	0.013	0	1	229.115	0.001	0.127	172.68	-2767.24	-0.00	0.00
6000	0.010	0.010	0.010	0	1	10.679	0.002	0.070	175.45	-2766.80	0.00	0.00
6500	0.013	0.013	0.013	0	2	0.545	0.002	-0.055	175.18	-2767.48	-0.41	0.00
7000	0.008	0.008	0.008	0	4	8.937	0.004	-0.086	176.20	-2768.21	-0.23	0.00
7500	0.009	0.009	0.009	0	2	4.105	0.001	0.011	182.17	-2767.48	0.00	0.00
8000	0.009	0.009	0.009	0	1	79.009	0.000	-0.014	174.72	-2766.94	0.00	0.00
8500	0.011	0.011	0.011	0	1	31.149	0.001	-0.011	176.94	-2766.84	-0.72	0.00
9000	0.010	0.010	0.010	0	1	0.145	0.000	-0.054	176.09	-2766.78	-0.69	0.00
9500	0.009	0.009	0.009	0	3	2.531	0.000	-0.039	183.42	-2767.89	-0.00	0.08
10000	0.010	0.010	0.010	0	2	5.772	0.001	0.041	182.60	-2767.49	0.00	0.00
10500	0.010	0.010	0.010	0	1	270.207	0.000	0.059	175.01	-2767.32	0.00	0.00
11000	0.011	0.011	0.011	0	1	1124.374	0.001	-0.087	174.88	-2769.03	0.00	0.00
11500	0.011	0.011	0.011	0	1	775.489	0.001	-0.091	174.81	-2768.33	0.00	0.00
12000	0.010	0.010	0.010	0	1	73.659	0.009	0.023	172.78	-2766.93	0.00	0.00
12500	0.013	0.013	0.013	0	1	1223.283	0.005	-0.231	170.45	-2769.23	-0.10	0.04
13000	0.011	0.011	0.011	0	1	728.064	0.002	0.013	174.38	-2768.24	0.00	0.00
13500	0.011	0.011	0.011	0	1	211.235	0.001	-0.010	175.91	-2767.20	0.00	0.00
14000	0.012	0.012	0.012	0	1	1049.510	0.001	0.047	173.88	-2768.88	0.00	0.00
14500	0.011	0.011	0.011	0	1	59.916	0.000	-0.073	176.61	-2766.90	0.00	0.00
15000	0.011	0.011	0.011	0	1	112.720	0.000	0.096	175.21	-2767.01	0.00	-0.05
15500	0.011	0.011	0.011	0	1	16.170	0.001	-0.078	177.19	-2766.81	0.00	0.00
16000	0.011	0.011	0.011	0	1	1797.220	0.000	-0.108	174.70	-2770.37	-1.29	0.45
16500	0.012	0.012	0.012	0	1	104.671	0.005	-0.194	172.76	-2766.99	0.00	0.00
17000	0.012	0.012	0.012	0	1	47.400	0.003	0.028	175.39	-2766.88	0.00	0.00
17500	0.012	0.012	0.012	0	1	8.731	0.007	-0.062	174.18	-2766.80	0.00	0.00
18000	0.010	0.010	0.010	0	2	9.855	0.002	-0.116	181.96	-2767.50	-0.00	0.00
18500	0.010	0.010	0.010	0	1	693.334	0.003	-0.076	173.56	-2768.17	-0.00	0.00
19000	0.012	0.012	0.012	0	1	41.328	0.003	0.073	174.93	-2766.86	0.00	0.68
19500	0.011	0.011	0.011	0	1	1005.019	0.005	0.094	172.09	-2768.79	-0.64	0.38
20000	0.010	0.010	0.010	0	1	68.245	0.002	-0.029	174.77	-2766.92	0.00	0.00
