state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
5000	0.010	4.647	0.010	3	0	0.000	0.000	0.071	120.35	-2768.55	-0.03	-0.69
10000	0.010	15.449	0.010	3	0	0.000	0.002	-0.119	123.25	-2768.55	-0.02	-0.69
15000	0.011	7.447	0.011	3	0	0.000	0.003	0.033	123.32	-2768.54	-0.02	-0.69
20000	0.011	13.937	0.011	3	0	0.000	0.007	-0.114	122.76	-2768.56	0.00	-6.22
25000	0.010	88.984	0.010	3	0	0.000	0.000	-0.052	124.02	-2768.65	0.00	-6.83
30000	0.011	377.448	0.011	3	0	0.000	0.002	0.056	120.16	-2769.00	0.01	0.69
35000	0.012	250.524	0.012	3	0	0.000	0.004	-0.002	121.28	-2768.79	0.00	-6.90
40000	0.011	37.732	0.011	3	0	0.000	0.000	-0.107	124.49	-2768.58	0.00	-6.17
45000	0.010	22.298	0.010	3	0	0.000	0.000	0.040	124.62	-2768.55	0.00	-0.25
50000	0.011	7.959	0.011	4	0	0.000	0.001	0.116	122.53	-2770.30	0.00	-6.78
55000	0.011	0.813	0.011	1	0	0.000	0.000	-0.161	130.46	-2766.00	0.00	-6.38
60000	0.010	0.926	0.010	1	0	0.000	0.011	-0.106	127.33	-2766.00	0.00	-6.24
65000	0.009	0.846	0.009	1	0	0.000	0.000	0.007	129.08	-2766.00	0.01	0.69
70000	0.012	0.729	0.012	1	0	0.000	0.002	-0.129	129.71	-2765.99	-0.10	0.00
75000	0.011	1.257	0.011	2	0	0.000	0.007	-0.257	123.67	-2767.08	-0.05	0.00
80000	0.019	0.717	0.019	1	0	0.000	0.003	-0.146	117.45	-2766.00	-0.01	-0.69
85000	0.011	0.406	0.011	1	0	0.000	0.006	-0.049	127.18	-2765.98	-0.01	-0.69
90000	0.011	5.447	0.011	2	0	0.000	0.003	0.121	128.37	-2767.05	-0.20	0.00
95000	0.011	1.482	0.011	2	0	0.000	0.004	-0.084	125.88	-2767.09	-0.00	0.00
100000	0.013	0.715	0.013	1	0	0.000	0.009	-0.071	127.00	-2765.99	0.00	-6.59
105000	0.014	0.648	0.014	1	0	0.000	0.002	-0.017	128.54	-2765.99	0.03	0.69
110000	0.009	1.220	0.009	1	0	0.000	0.000	-0.012	126.99	-2766.02	0.00	-0.65
115000	0.009	1.232	0.009	1	0	0.000	0.008	-0.114	126.09	-2766.02	0.00	-6.92
120000	0.011	1.055	0.011	1	0	0.000	0.004	-0.070	128.68	-2766.01	-0.02	-0.69
125000	0.012	0.769	0.012	1	0	0.000	0.004	-0.100	129.27	-2766.00	-0.22	0.00
130000	0.010	0.473	0.010	1	0	0.000	0.004	-0.109	128.62	-2765.98	0.00	-6.85
135000	0.010	0.783	0.010	1	0	0.000	0.000	-0.071	131.02	-2766.00	-0.00	0.10
140000	0.011	1.996	0.011	1	0	0.000	0.006	-0.034	124.30	-2766.06	-0.00	0.00
145000	0.010	0.493	0.010	1	0	0.000	0.000	-0.020	130.16	-2765.98	0.00	-6.85
150000	0.013	0.744	0.013	1	0	0.000	0.000	-0.117	129.90	-2765.99	0.00	-6.60
155000	0.011	0.632	0.011	1	0	0.000	0.001	-0.108	130.79	-2765.99	0.00	0.69
160000	0.014	1.551	0.014	1	0	0.000	0.004	-0.080	124.63	-2766.03	-0.00	0.61
165000	0.010	1.084	0.010	1	0	0.000	0.000	0.008	129.31	-2766.01	0.05	0.69
170000	0.013	0.546	0.013	1	0	0.000	0.003	-0.102	128.86	-2765.98	-0.01	-0.69
175000	0.010	1.152	0.010	1	0	0.000	0.014	-0.038	125.89	-2766.01	0.00	-6.03
180000	0.009	1.023	0.009	1	0	0.000	0.002	-0.094	128.76	-2766.01	-0.03	0.00
185000	0.011	15.258	0.011	2	0	0.000	0.004	-0.197	128.22	-2767.09	-0.03	-0.69
190000	0.014	0.588	0.014	1	0	0.000	0.004	-0.011	127.44	-2765.99	-0.24	0.00
195000	0.011	1.248	0.011	1	0	0.000	0.003	-0.014	128.20	-2766.02	0.00	-0.54
200000	0.009	0.745	0.009	1	0	0.000	0.003	-0.123	127.47	-2765.99	0.00	-7.00
205000	0.012	0.659	0.012	1	0	0.000	0.000	-0.097	130.89	-2765.99	0.01	0.00
210000	0.012	0.946	0.012	1	0	0.000	0.002	-0.044	129.51	-2766.00	-0.16	0.00
215000	0.013	1.087	0.013	1	0	0.000	0.001	0.010	127.53	-2766.01	-0.00	0.58
220000	0.011	0.704	0.011	1	0	0.000	0.006	-0.081	129.32	-2765.99	0.00	-6.74
225000	0.011	0.739	0.011	1	0	0.000	0.001	0.081	129.48	-2765.99	0.00	-6.72
230000	0.013	0.460	0.013	1	0	0.000	0.001	-0.073	128.31	-2765.98	-0.01	0.00
235000	0.015	0.616	0.015	1	0	0.000	0.001	-0.117	126.79	-2765.99	-0.10	0.00
240000	0.011	0.597	0.011	1	0	0.000	0.003	-0.003	129.81	-2765.99	-0.01	-0.69
245000	0.010	0.611	0.010	1	0	0.000	0.003	-0.063	129.79	-2765.99	0.00	-6.87
250000	0.010	0.494	0.010	1	0	0.000	0.002	-0.131	129.08	-2765.98	0.00	-0.20
255000	0.013	0.636	0.013	1	0	0.000	0.005	0.101	126.59	-2765.99	-0.00	0.04
260000	0.010	0.698	0.010	1	0	0.000	0.002	0.130	127.47	-2765.99	-0.21	0.00
265000	0.012	0.938	0.012	1	0	0.000	0.003	0.019	128.89	-2766.00	-0.16	0.00
270000	0.011	0.553	0.011	2	0	0.000	0.001	0.027	129.13	-2767.04	-0.00	-0.69
275000	0.009	1.112	0.009	1	0	0.000	0.009	-0.092	126.56	-2766.01	0.00	-0.22
280000	0.013	0.680	0.013	1	0	0.000	0.001	0.101	128.21	-2765.99	0.00	-6.59
285000	0.011	1.160	0.011	2	0	0.000	0.004	0.055	127.70	-2767.07	-0.02	0.00
290000	0.012	0.933	0.012	2	0	0.000	0.009	-0.030	126.01	-2767.06	-0.02	0.00
295000	0.009	0.559	0.009	1	0	0.000	0.009	-0.010	126.70	-2765.98	-0.01	-0.69
300000	0.010	1.129	0.010	1	0	0.000	0.003	0.044	127.82	-2766.01	0.00	-6.88
305000	0.011	0.719	0.011	1	0	0.000	0.002	-0.124	130.32	-2765.99	0.00	-6.74
310000	0.011	0.510	0.011	1	0	0.000	0.001	-0.087	130.50	-2765.98	0.00	-6.80
315000	0.010	1.353	0.010	1	0	0.000	0.005	0.019	126.56	-2766.02	-0.03	-0.69
320000	0.010	1.156	0.010	1	0	0.000	0.002	-0.081	129.06	-2766.01	-0.02	-0.69
325000	0.010	0.816	0.010	1	0	0.000	0.003	-0.214	127.84	-2766.00	0.00	-0.47
